,name,gender,age,episode,episode_date,upload_date,subscriber_count,likes,comments,term,job,topic,rating
196,권범,M,어린이,72.0,20200916.0,20200916.0,140000,21795.0,1859.0,1241.0,기타,미생 특집,3.689
197,김혜진,W,청년,72.0,20200916.0,20200916.0,140000,954.0,136.0,1241.0,기타,미생 특집,3.689
198,진성호,M,청년,72.0,20200916.0,20200916.0,140000,727.0,84.0,1241.0,사회복지,미생 특집,3.689
199,김현진,W,청년,73.0,20200923.0,20200925.0,160000,89.0,7.0,1232.0,서비스,소통의 기술 특집,4.032
200,유영수,M,중년,73.0,20200923.0,20200925.0,160000,6437.0,271.0,1232.0,기타,소통의 기술 특집,4.032
201,유영수,M,중년,73.0,20200923.0,20200925.0,160000,6437.0,271.0,1232.0,서비스,소통의 기술 특집,4.032
202,강미연,W,중년,73.0,20200923.0,20200925.0,160000,170.0,5.0,1232.0,서비스,소통의 기술 특집,4.032
203,차금덕,W,중년,73.0,20200923.0,20200925.0,160000,126.0,6.0,1232.0,서비스,소통의 기술 특집,4.032
204,임연진,W,청년,73.0,20200923.0,20200925.0,160000,46.0,4.0,1232.0,서비스,소통의 기술 특집,4.032
205,박응경,M,중년,74.0,20200930.0,20200930.0,180000,39388.0,5576.0,1227.0,서비스,추석 - 조선의 힙스터,2.487
206,이동훈,M,청년,74.0,20200930.0,20200930.0,180000,32179.0,1761.0,1227.0,전문기술,추석 - 조선의 힙스터,2.487
207,나태복,M,중년,74.0,20200930.0,20200930.0,180000,9879.0,443.0,1227.0,서비스,추석 - 조선의 힙스터,2.487
208,신덕순,W,중년,74.0,20200930.0,20200930.0,180000,10580.0,391.0,1227.0,서비스,추석 - 조선의 힙스터,2.487
209,스테파노,M,청년,74.0,20200930.0,20200930.0,180000,725.0,99.0,1227.0,기타,추석 - 조선의 힙스터,2.487
210,스테파노,M,청년,74.0,20200930.0,20200930.0,180000,725.0,99.0,1227.0,기타,추석 - 조선의 힙스터,2.487
211,함범녀,W,중년,75.0,20201007.0,20201010.0,220000,1928.0,352.0,1217.0,기타,금손 특집,3.188
212,함범녀,W,중년,75.0,20201007.0,20201010.0,220000,1928.0,352.0,1217.0,서비스,금손 특집,3.188
213,이지연,W,청년,75.0,20201007.0,20201010.0,220000,291.0,15.0,1217.0,전문기술,금손 특집,3.188
214,이지연,W,청년,75.0,20201007.0,20201010.0,220000,291.0,15.0,1217.0,서비스,금손 특집,3.188
215,배용호,M,중년,75.0,20201007.0,20201010.0,220000,2652.0,225.0,1217.0,서비스,금손 특집,3.188
216,정대례,W,청년,75.0,20201007.0,20201010.0,220000,881.0,740.0,1217.0,전문기술,금손 특집,3.188
217,김슬기,W,청년,75.0,20201007.0,20201010.0,220000,1331.0,81.0,1217.0,전문기술,금손 특집,3.188
218,서명옥,W,청년,76.0,20201014.0,20201015.0,240000,16144.0,992.0,1212.0,전문기술,공무원 특집,3.542
219,임소진,W,청년,76.0,20201014.0,20201015.0,240000,4899.0,232.0,1212.0,전문기술,공무원 특집,3.542
220,최자영,W,청년,76.0,20201014.0,20201015.0,240000,1303.0,236.0,1212.0,기타,공무원 특집,3.542
221,최정희,W,청년,76.0,20201014.0,20201015.0,240000,814.0,60.0,1212.0,서비스,공무원 특집,3.542
222,김한슬,W,청년,77.0,20201021.0,20201021.0,260000,2871.0,216.0,1206.0,전문기술,독특한 이력서,4.009
223,김건태,M,청년,77.0,20201021.0,20201021.0,260000,765.0,113.0,1206.0,전문기술,독특한 이력서,4.009
224,김지헌,W,청년,77.0,20201021.0,20201021.0,260000,7010.0,827.0,1206.0,기타,독특한 이력서,4.009
225,최희화,W,청년,77.0,20201021.0,20201021.0,260000,4331.0,262.0,1206.0,운동선수,독특한 이력서,4.009
226,신원호,M,청년,78.0,20201028.0,20201029.0,280000,1575.0,119.0,1198.0,서비스,맛있는 녀석들 특집,3.737
227,이명한,M,중년,78.0,20201028.0,20201029.0,280000,352.0,16.0,1198.0,서비스,맛있는 녀석들 특집,3.737
228,김대주,W,청년,78.0,20201028.0,20201029.0,280000,1726.0,176.0,1198.0,예술가,맛있는 녀석들 특집,3.737
