,제목,설명,출연자_정보,조회수,좋아요수,댓글수,재생시간(초),년도,회차,출연자,업로드일,구독자수,term
59,쌍둥이 자기님들이 제일 많이 듣는 질문 1위는? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",68,0,0,185,2019,45,김현지,2020-07-29,0,1290
60,쌍둥이 자기님들이 제일 많이 듣는 질문 1위는? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",68,0,0,185,2019,45,김현이,2020-07-29,0,1290
61,일을 너무 열심히 하셨던 아버지... 자식들에겐 어떤 아버지였나요? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",58,2,0,432,2019,45,이태석,2020-07-29,0,1290
74,유재석을 눈물 쏟게 만든 의료진의 한 마디 ′저는 괜찮습니다′ | ,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석눈물
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",71350,997,143,452,2020,47,정대례,2020-07-29,0,1290
75,임관하자마자 대구로 파견된 간호장교의 각오 | ,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #간호장교
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",1285,19,0,167,2020,47,김슬기,2020-07-29,0,1290
76,′왜 꼭 엄마가 가야 해?′ 담담해서 더욱 먹먹한 대구 자원봉사 의료진의 이야기 | ,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #자원봉사의료진
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",594,12,0,387,2020,47,서명옥,2020-07-29,0,1290
77,(눈물주의) 코로나19로 아이들과 마지막 인사조차 못한 문방구 할머니 ′얘들아 꼭 와′ | ,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #코로나19
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",528,10,0,173,2020,47,함범녀,2020-07-29,0,1290
78,"위기 속에서도 빛나는 봉사활동! 자기님, 존경합니다! | ","＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #봉사활동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",298,0,0,186,2020,47,배용호,2020-07-29,0,1290
79,이 시대의 영웅 ′코로나 맵′ 개발자 자기님의 사명감! | ,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #코로나맵
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",242,3,1,419,2020,47,이동훈,2020-07-29,0,1290
80,코로나19 확진자 진료 책임자 자기님이 말하는 현장 | ,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #코로나19의료진
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '코로나19']",201,1,0,294,2020,47,이지연,2020-07-29,0,1290
