시즌,에피소드,출연자,직업
3,138-1,강창무,간담췌외과 명의
3,138-2,김미란,여성질환 명의
3,138-3,양창모,강원도 왕진 의사
3,139-1,황선우,수영선수
3,139-2,이말년,웹툰 작가
3,139-3,두봉,주교
3,140-1,김현무,항해사
3,140-2,조용문,지하철 택배원
3,140-3,박강빈,자립청년
3,141-1,정경교,무림고수
3,141-2,임기종,지게꾼
3,141-3,고수,배우
3,142-1,이건수,백석대 경찰학부 교수
3,143-1,이대양,웹툰 작가
3,143-2,황석희,번역가
3,143-3,유성원,변리사
3,144-1,"곽윤기, 김동욱,박장혁, 황대헌, 이준서",쇼트트랙 선수
3,144-2,박재민,배우 겸 KBS 해설위원(스노보드 및 3X3 농구)
3,144-3,차준환,피겨 스케이팅 선수
3,145-1,임재혁,배우
3,145-2,팀킴(김은정&김영미&김경애&김선영&김초희),컬링 선수
3,145-3,정지웅,배우 정은표의 아들
3,146-1,홍진호,"전 프로게이머, 현 방송인"
3,146-2,윤여정,배우
3,147-1,조나단&파트리샤 남매,대학생 겸 방송인
3,147-2,구본진,변호사
3,148-1,한문철,변호사
3,148-2,임종령,통역사
3,148-3,김종기,푸른나무재단 명예 이사장
3,149-1,김영태,경상북도경찰청 고속도로순찰대 경위
3,149-2,안병헌,법무부 청주보호관찰소 무도실무관
3,149-3,라상훈,산림청 공중진화대 팀장
3,150-1,이성엽,은행원
3,150-2,임세아,"크리스챤 디올 패션 디자이, 너"
3,151-1,김어진,대학생 겸 유튜버
3,152-1,강형욱,훈련사
3,153-1,두 김민섭,작가& 디자이너
3,153-2,한경록,베이시스트
3,153-3,"권혜정, 김도현, 윤수임",초등학교 2학년
3,154-1,마포 로르,판소리꾼
3,154-2,김수지,"MBC 아나운서, 작사가"
3,154-3,조근식,약사
3,155-1,허태균,사회심리학자
3,155-2,"박향자, 김영자, 백성자",할미넴
3,155-3,CL,가수
3,156-1,이명희&조헌주 모녀,-
3,156-2,제임스-하비에르 형제,신부
3,156-3,"김선민, 김원식",축구선수
3,156-4,다비치,가수
3,157-1,장선근,서울대병원 재활의학 전문의
3,157-2,임천숙,미용사
3,157-3,박주영,판사
3,157-4,유지태,배우
3,158-1,오건영,컨설티드
3,158-2,루나(홍인혜),카피라이터&웹툰 작가
3,158-3,곽상은,기자
3,158-4,구준엽,가수
3,159-1,이주영,태권도 선수
3,159-2,임채원,검사
3,159-3,준호,가수 겸 배우
3,160-1,백채령,스포츠스태킹 선수
3,160-2,"조진헌, 송낙훈",카메라 감독
3,160-3,박항서,축구감독
3,160-4,한지민,배우
3,161-1,노영선,응급의학과 전문의
3,161-2,박경림,MC
3,161-3,김상욱[42],물리학자
3,161-4,"배철수, 구창모",가수
3,162-1,이정원,음대생[43]
3,162-2,앨런 킴,아역 배우
3,162-3,고정환,누리호 사령탑 본부장
4,163-1,하준우,줄넘기 국가대표
4,163-3,김한민,영화 감독
4,163-4,박은빈,배우
4,164-1,문상훈,코미디언 • 배우
4,164-2,장원석,영화 제작자
4,164-3,정나래,독일 청소년 합창단 지휘자
4,165-1,김결,바퀴벌레 잡아주는 남자
4,165-2,김한겸,미라 연구가
4,165-4,주호민,웹툰작가
